Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Myanmar,Ayeyarwady,Hinthada,MMR,MMR017D002,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Hinthada,MMR,MMR017D002,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Hinthada,MMR,MMR017D002,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Hinthada,MMR,MMR017D002,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Hinthada,MMR,MMR017D002,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Hinthada,MMR,MMR017D002,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Labutta,MMR,MMR017D004,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Labutta,MMR,MMR017D004,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Maubin,MMR,MMR017D005,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Maubin,MMR,MMR017D005,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Maubin,MMR,MMR017D005,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Maubin,MMR,MMR017D005,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Myaungmya,MMR,MMR017D003,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Myaungmya,MMR,MMR017D003,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Myaungmya,MMR,MMR017D003,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Pathein,MMR,MMR017D001,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Pathein,MMR,MMR017D001,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Pathein,MMR,MMR017D001,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Pathein,MMR,MMR017D001,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Pathein,MMR,MMR017D001,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Pathein,MMR,MMR017D001,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Pathein,MMR,MMR017D001,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Pyapon,MMR,MMR017D006,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Pyapon,MMR,MMR017D006,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Pyapon,MMR,MMR017D006,MMR017,January,2010,0,0
Myanmar,Ayeyarwady,Pyapon,MMR,MMR017D006,MMR017,January,2010,0,0
Myanmar,Bago-East,Bago,MMR,MMR007D001,MMR007,January,2010,1,2
Myanmar,Bago-East,Bago,MMR,MMR007D001,MMR007,January,2010,1,2
Myanmar,Bago-East,Bago,MMR,MMR007D001,MMR007,January,2010,1,2
Myanmar,Bago-East,Bago,MMR,MMR007D001,MMR007,January,2010,1,2
Myanmar,Bago-East,Bago,MMR,MMR007D001,MMR007,January,2010,1,2
Myanmar,Bago-East,Bago,MMR,MMR007D001,MMR007,January,2010,1,2
Myanmar,Bago-East,Bago,MMR,MMR007D001,MMR007,January,2010,1,2
Myanmar,Bago-East,Bago,MMR,MMR007D001,MMR007,January,2010,1,2
Myanmar,Bago-East,Taungoo,MMR,MMR007D002,MMR007,January,2010,0,0
Myanmar,Bago-East,Taungoo,MMR,MMR007D002,MMR007,January,2010,0,0
Myanmar,Bago-East,Taungoo,MMR,MMR007D002,MMR007,January,2010,0,0
Myanmar,Bago-East,Taungoo,MMR,MMR007D002,MMR007,January,2010,0,0
Myanmar,Bago-East,Taungoo,MMR,MMR007D002,MMR007,January,2010,0,0
Myanmar,Bago-East,Taungoo,MMR,MMR007D002,MMR007,January,2010,0,0
Myanmar,Bago-West,Pyay,MMR,MMR008D001,MMR008,January,2010,0,0
Myanmar,Bago-West,Pyay,MMR,MMR008D001,MMR008,January,2010,0,0
Myanmar,Bago-West,Pyay,MMR,MMR008D001,MMR008,January,2010,0,0
Myanmar,Bago-West,Pyay,MMR,MMR008D001,MMR008,January,2010,0,0
Myanmar,Bago-West,Pyay,MMR,MMR008D001,MMR008,January,2010,0,0
Myanmar,Bago-West,Pyay,MMR,MMR008D001,MMR008,January,2010,0,0
Myanmar,Bago-West,Thayarwady,MMR,MMR008D002,MMR008,January,2010,0,0
Myanmar,Bago-West,Thayarwady,MMR,MMR008D002,MMR008,January,2010,0,0
Myanmar,Bago-West,Thayarwady,MMR,MMR008D002,MMR008,January,2010,0,0
Myanmar,Bago-West,Thayarwady,MMR,MMR008D002,MMR008,January,2010,0,0
Myanmar,Bago-West,Thayarwady,MMR,MMR008D002,MMR008,January,2010,0,0
Myanmar,Bago-West,Thayarwady,MMR,MMR008D002,MMR008,January,2010,0,0
Myanmar,Bago-West,Thayarwady,MMR,MMR008D002,MMR008,January,2010,0,0
Myanmar,Bago-West,Thayarwady,MMR,MMR008D002,MMR008,January,2010,0,0
Myanmar,Chin,Falam,MMR,MMR004D001,MMR004,January,2010,0,0
Myanmar,Chin,Falam,MMR,MMR004D001,MMR004,January,2010,0,0
Myanmar,Chin,Falam,MMR,MMR004D001,MMR004,January,2010,0,0
Myanmar,Chin,Hakha,MMR,MMR004D003,MMR004,January,2010,0,0
Myanmar,Chin,Hakha,MMR,MMR004D003,MMR004,January,2010,0,0
Myanmar,Chin,Matupi,MMR,MMR004D004,MMR004,January,2010,0,0
Myanmar,Chin,Matupi,MMR,MMR004D004,MMR004,January,2010,0,0
Myanmar,Chin,Mindat,MMR,MMR004D002,MMR004,January,2010,0,0
Myanmar,Chin,Mindat,MMR,MMR004D002,MMR004,January,2010,0,0
Myanmar,Kachin,Bhamo,MMR,MMR001D003,MMR001,January,2010,0,0
Myanmar,Kachin,Bhamo,MMR,MMR001D003,MMR001,January,2010,0,0
Myanmar,Kachin,Bhamo,MMR,MMR001D003,MMR001,January,2010,0,0
Myanmar,Kachin,Bhamo,MMR,MMR001D003,MMR001,January,2010,0,0
Myanmar,Kachin,Mohnyin,MMR,MMR001D002,MMR001,January,2010,0,0
Myanmar,Kachin,Mohnyin,MMR,MMR001D002,MMR001,January,2010,0,0
Myanmar,Kachin,Mohnyin,MMR,MMR001D002,MMR001,January,2010,0,0
Myanmar,Kachin,Myitkyina,MMR,MMR001D001,MMR001,January,2010,0,0
Myanmar,Kachin,Myitkyina,MMR,MMR001D001,MMR001,January,2010,0,0
Myanmar,Kachin,Myitkyina,MMR,MMR001D001,MMR001,January,2010,0,0
Myanmar,Kachin,Myitkyina,MMR,MMR001D001,MMR001,January,2010,0,0
Myanmar,Kachin,Myitkyina,MMR,MMR001D001,MMR001,January,2010,0,0
Myanmar,Kachin,Myitkyina,MMR,MMR001D001,MMR001,January,2010,0,0
Myanmar,Kachin,Puta-O,MMR,MMR001D004,MMR001,January,2010,0,0
Myanmar,Kachin,Puta-O,MMR,MMR001D004,MMR001,January,2010,0,0
Myanmar,Kachin,Puta-O,MMR,MMR001D004,MMR001,January,2010,0,0
Myanmar,Kachin,Puta-O,MMR,MMR001D004,MMR001,January,2010,0,0
Myanmar,Kachin,Puta-O,MMR,MMR001D004,MMR001,January,2010,0,0
Myanmar,Kayah,Bawlake,MMR,MMR002D002,MMR002,January,2010,0,0
Myanmar,Kayah,Bawlake,MMR,MMR002D002,MMR002,January,2010,0,0
Myanmar,Kayah,Bawlake,MMR,MMR002D002,MMR002,January,2010,0,0
Myanmar,Kayah,Loikaw,MMR,MMR002D001,MMR002,January,2010,0,0
Myanmar,Kayah,Loikaw,MMR,MMR002D001,MMR002,January,2010,0,0
Myanmar,Kayah,Loikaw,MMR,MMR002D001,MMR002,January,2010,0,0
Myanmar,Kayah,Loikaw,MMR,MMR002D001,MMR002,January,2010,0,0
Myanmar,Kayin,Hpa-An,MMR,MMR003D001,MMR003,January,2010,1,0
Myanmar,Kayin,Hpa-An,MMR,MMR003D001,MMR003,January,2010,1,0
Myanmar,Kayin,Hpa-An,MMR,MMR003D001,MMR003,January,2010,1,0
Myanmar,Kayin,Hpapun,MMR,MMR003D004,MMR003,January,2010,1,0
Myanmar,Kayin,Kawkareik,MMR,MMR003D003,MMR003,January,2010,2,0
Myanmar,Kayin,Kawkareik,MMR,MMR003D003,MMR003,January,2010,2,0
Myanmar,Kayin,Myawaddy,MMR,MMR003D002,MMR003,January,2010,0,0
Myanmar,Magway,Gangaw,MMR,MMR009D005,MMR009,January,2010,0,0
Myanmar,Magway,Gangaw,MMR,MMR009D005,MMR009,January,2010,0,0
Myanmar,Magway,Gangaw,MMR,MMR009D005,MMR009,January,2010,0,0
Myanmar,Magway,Magway,MMR,MMR009D001,MMR009,January,2010,0,0
Myanmar,Magway,Magway,MMR,MMR009D001,MMR009,January,2010,0,0
Myanmar,Magway,Magway,MMR,MMR009D001,MMR009,January,2010,0,0
Myanmar,Magway,Magway,MMR,MMR009D001,MMR009,January,2010,0,0
Myanmar,Magway,Magway,MMR,MMR009D001,MMR009,January,2010,0,0
Myanmar,Magway,Magway,MMR,MMR009D001,MMR009,January,2010,0,0
Myanmar,Magway,Minbu,MMR,MMR009D002,MMR009,January,2010,0,0
Myanmar,Magway,Minbu,MMR,MMR009D002,MMR009,January,2010,0,0
Myanmar,Magway,Minbu,MMR,MMR009D002,MMR009,January,2010,0,0
Myanmar,Magway,Minbu,MMR,MMR009D002,MMR009,January,2010,0,0
Myanmar,Magway,Minbu,MMR,MMR009D002,MMR009,January,2010,0,0
Myanmar,Magway,Pakokku,MMR,MMR009D004,MMR009,January,2010,0,0
Myanmar,Magway,Pakokku,MMR,MMR009D004,MMR009,January,2010,0,0
Myanmar,Magway,Pakokku,MMR,MMR009D004,MMR009,January,2010,0,0
Myanmar,Magway,Pakokku,MMR,MMR009D004,MMR009,January,2010,0,0
Myanmar,Magway,Pakokku,MMR,MMR009D004,MMR009,January,2010,0,0
Myanmar,Magway,Thayet,MMR,MMR009D003,MMR009,January,2010,0,0
